File Name,color,Color Index,Red,Green,Blue,Max Proportion,HEX,Price,formulation,date,saturation,lightness,tone
딘토_블러글로이립틴트_소피아,,1,207,125,101,100.00%,#cf7d65,"20,000",글로시,11,51,60,strong
딘토_블러글로이립틴트_수이파마,,1,204,36,76,100.00%,#cc244c,"20,000",글로시,11,70,47,strong
딘토_블러글로이립틴트_아베마리아,,1,198,132,144,100.00%,#c68490,"20,000",글로시,11,33,65,soft
딘토_블러글로이립틴트_유스티티아,,1,252,145,163,100.00%,#fc91a3,"20,000",글로시,11,42,78,light
딘토_블러글로이립틴트_코르,,1,240,132,106,100.00%,#f0846a,"20,000",글로시,11,56,68,bright
딘토_블러글로이립틴트_팍스,,1,213,57,128,100.00%,#d53980,"20,000",글로시,11,73,53,strong
딘토_블러글로이립틴트_팍스로마나,,1,200,128,132,100.00%,#c88084,"20,000",글로시,11,36,64,soft
딘토_블러글로이립틴트_피데스,,1,176,67,70,100.00%,#b04346,"20,000",글로시,11,62,48,strong
딘토_블러글로이립틴트_피덴티아,,1,202,80,95,100.00%,#ca505f,"20,000",글로시,11,60,55,strong
라카_본딩글로우립스틱_뎁스,,1,147,51,59,100.00%,#93333b,"16,000",글로시,79,65,39,deep
라카_본딩글로우립스틱_리리,,1,230,125,141,100.00%,#e67d8d,"16,000",글로시,79,46,70,soft
라카_본딩글로우립스틱_마크,,1,205,105,94,53.14%,#cd695e,"16,000",글로시,79,54,59,strong
라카_본딩글로우립스틱_멀드,,1,214,111,91,99.91%,#d66f5b,"16,000",글로시,79,57,60,strong
라카_본딩글로우립스틱_미로,,1,186,96,98,60.63%,#ba6062,"16,000",글로시,79,48,55,soft
라카_본딩글로우립스틱_포쉬,,1,144,30,25,100.00%,#901e19,"16,000",글로시,79,83,33,vivid
